Customer ID,Customer Name,Age Group,Gender,Region,Product Category,Sales Amount,Profit,Purchase Date,Payment Mode,Loyalty Program,Shipping Type,Discount,Order Status,Customer Rating,Customer Feedback
CUST0001,Customer 1,60+,Male,Central,Toys,281.58,29.39,2024-01-19,UPI,Yes,Standard,7.08,Returned,2.4,Excellent
CUST0002,Customer 2,46-60,Female,West,Clothing,146.34,43.13,2024-04-05,UPI,Yes,Express,31.97,Returned,3.9,Poor
CUST0003,Customer 3,36-45,Other,South,Home & Kitchen,189.1,19.38,2024-09-13,Net Banking,Yes,Express,37.71,Cancelled,3.3,Excellent
CUST0004,Customer 4,26-35,Male,North,Clothing,57.37,11.72,2024-03-01,Credit Card,Yes,Express,47.37,Pending,2.7,Very Poor
CUST0005,Customer 5,36-45,Female,West,Electronics,58.27,13.69,2024-10-28,Cash,No,Standard,46.74,Returned,1.0,Poor
CUST0006,Customer 6,60+,Male,East,Toys,290.67,46.56,2024-07-06,Cash,Yes,Express,7.6,Pending,4.7,Very Poor
CUST0007,Customer 7,60+,Other,East,Electronics,382.12,63.47,2024-03-01,UPI,Yes,Same Day,8.47,Completed,1.0,Very Poor
CUST0008,Customer 8,26-35,Other,South,Books,414.19,110.7,2024-07-05,UPI,Yes,Express,47.91,Returned,1.0,Average
CUST0009,Customer 9,26-35,Male,Central,Toys,289.62,48.68,2024-01-23,Debit Card,Yes,Standard,26.16,Completed,1.3,Poor
CUST0010,Customer 10,18-25,Male,West,Toys,232.02,56.23,2024-04-21,Cash,No,Express,13.33,Cancelled,4.7,Very Poor
CUST0011,Customer 11,36-45,Other,Central,Electronics,467.46,113.61,2024-01-26,Cash,No,Same Day,38.01,Completed,1.9,Excellent
CUST0012,Customer 12,46-60,Male,West,Clothing,441.28,60.09,2024-12-05,Debit Card,Yes,Standard,36.97,Cancelled,2.6,Very Poor
CUST0013,Customer 13,36-45,Female,West,Home & Kitchen,87.56,25.92,2024-05-11,Debit Card,Yes,Express,30.73,Completed,1.2,Average
CUST0014,Customer 14,18-25,Female,East,Clothing,167.88,36.58,2024-03-24,Cash,Yes,Same Day,9.68,Completed,3.8,Excellent
CUST0015,Customer 15,36-45,Other,South,Clothing,377.1,41.04,2024-08-10,UPI,No,Same Day,34.19,Pending,3.9,Average
CUST0016,Customer 16,46-60,Other,Central,Clothing,324.63,70.15,2024-07-26,Cash,Yes,Express,25.97,Cancelled,4.5,Very Poor
CUST0017,Customer 17,60+,Male,East,Books,138.03,21.5,2024-01-19,Net Banking,No,Standard,32.61,Cancelled,3.3,Good
CUST0018,Customer 18,60+,Male,West,Home & Kitchen,108.69,28.28,2024-07-09,Debit Card,Yes,Same Day,49.14,Returned,1.9,Good
CUST0019,Customer 19,26-35,Female,Central,Home & Kitchen,162.57,18.48,2024-01-20,Cash,No,Standard,30.39,Completed,1.1,Average
CUST0020,Customer 20,60+,Other,West,Home & Kitchen,230.73,30.91,2024-10-28,Net Banking,No,Standard,40.26,Returned,3.6,Good
CUST0021,Customer 21,26-35,Male,South,Home & Kitchen,452.88,55.22,2024-09-13,Credit Card,No,Express,21.93,Returned,3.5,Excellent
CUST0022,Customer 22,36-45,Other,South,Clothing,490.04,90.4,2024-03-11,Credit Card,No,Same Day,22.83,Pending,2.8,Very Poor
CUST0023,Customer 23,60+,Male,South,Toys,427.78,70.26,2024-01-05,Debit Card,Yes,Same Day,23.93,Completed,1.2,Excellent
CUST0024,Customer 24,60+,Male,East,Home & Kitchen,411.74,72.19,2024-04-12,Net Banking,Yes,Same Day,23.56,Pending,2.2,Good
CUST0025,Customer 25,36-45,Other,West,Home & Kitchen,408.71,86.02,2024-08-17,Cash,No,Express,12.02,Returned,3.5,Average
CUST0026,Customer 26,18-25,Male,East,Toys,63.99,15.27,2024-08-10,Credit Card,No,Same Day,41.26,Completed,1.4,Very Poor
CUST0027,Customer 27,18-25,Other,East,Electronics,102.4,28.49,2024-09-25,UPI,Yes,Express,27.74,Completed,1.2,Poor
CUST0028,Customer 28,46-60,Other,Central,Home & Kitchen,114.65,23.19,2024-03-28,Net Banking,No,Express,13.19,Returned,2.3,Average
CUST0029,Customer 29,46-60,Male,North,Toys,74.27,10.68,2024-01-19,Credit Card,Yes,Express,9.45,Returned,2.3,Poor
CUST0030,Customer 30,46-60,Other,Central,Books,378.81,85.23,2024-08-15,Credit Card,Yes,Express,18.8,Pending,3.8,Excellent
CUST0031,Customer 31,18-25,Male,South,Books,337.52,72.45,2024-03-16,Debit Card,No,Express,45.83,Returned,2.9,Average
CUST0032,Customer 32,36-45,Female,West,Toys,219.01,35.47,2024-07-17,Cash,Yes,Same Day,11.86,Returned,2.7,Very Poor
CUST0033,Customer 33,46-60,Male,West,Books,136.26,32.74,2024-11-21,Debit Card,Yes,Same Day,16.42,Completed,1.6,Good
CUST0034,Customer 34,60+,Other,North,Clothing,486.13,138.47,2024-08-02,Cash,Yes,Standard,44.81,Returned,2.4,Very Poor
